question,answer,reference
מהו ביטוח משכנתא של הראל?,ביטוח משכנתא של הראל הוא ביטוח שמגן על משכנתא שלך כולל ביטוח חיים וביטוח מבנה דירה במקרה של נזקים.,https://www.harel-group.co.il/insurance/mortgage
מה כולל ביטוח משכנתא?,הכיסויים יכולים לכלול ביטוח חיים לשם כיסוי החזרי משכנתא וביטוח מבנה עבור נזקים למבנה הדירה.,https://www.harel-group.co.il/insurance/mortgage
כיצד מצטרפים לביטוח משכנתא?,ניתן להצטרף דרך אזור אישי באתר או עם סוכן ביטוח של הראל.,https://www.harel-group.co.il/insurance/mortgage/join
מהו ביטוח חיים למשכנתא?,ביטוח חיים למשכנתא מבטיח כיסוי במקרה של מוות כדי לכסות את יתרת המשכנתא.,https://www.harel-group.co.il/insurance/mortgage/policies/safe-mortgage
מהו ביטוח מבנה למשכנתא?,ביטוח מבנה מכסה נזקים שנגרמים למבנה הדירה כתוצאה מסיכונים שונים.,https://www.harel-group.co.il/insurance/mortgage/policies/pages/structural.aspx
אילו כיסויים יש בביטוח מבנה משכנתא?,כיסויים כוללים שריפה, סערה, פריצה, רעידת אדמה ועוד.,https://www.harel-group.co.il/insurance/mortgage/policies/pages/structural.aspx
האם ביטוח משכנתא כולל כיסוי לנזקי מים?,כן — חלק מהפוליסות מאפשרות הרחבה לנזקי מים ונוזלים.,https://www.harel-group.co.il/insurance/mortgage/policies/pages/structural.aspx
מה ההבדל בין ביטוח חיים לביטוח חיים למשכנתא?,ביטוח חיים הוא כללי יותר, בעוד שביטוח חיים למשכנתא מותאם לכיסוי יתרת המשכנתא.,https://www.harel-group.co.il/insurance/mortgage/information/what-is-mortgage-insurance
איך מחשבים גובה ביטוח החיים הדרוש?,הגובה נקבע לפי יתרת המשכנתא והכיסוי הרצוי למשפחה, באתר יש מחשבון שיעזור לך בהערכה.,https://www.harel-group.co.il/Insurance/mortgage/information/Pages/mortgage-calculator.aspx
מהו מחשבון משכנתא באתר הראל?,מחשב המאפשר לראות הערכה של הפרמיה ותעריפי ביטוח המשכנתא שלך.,https://www.harel-group.co.il/Insurance/mortgage/information/Pages/mortgage-calculator.aspx
איך מעדכנים פרטים אישיים בפוליסה?,ניתן לעדכן פרטים אישיים באזור האישי באתר הראל.,https://www.harel-group.co.il/insurance/mortgage/information/faq
איך מעדכנים אמצעי תשלום?,עדכון אמצעי תשלום מתבצע דרך האזור האישי באתר הראל.,https://www.harel-group.co.il/insurance/mortgage/information/faq
איך מבטלים ביטוח משכנתא?,ניתן לבטל דרך אזור אישי או באמצעות פנייה לשירות הלקוחות, בהתאם לתנאי הפוליסה.,https://www.harel-group.co.il/insurance/mortgage/information/faq
איך ניתן לצפות בדוחות הביטוח?,ניתן לצפות בדוחות דרך האזור האישי של הלקוח באתר.,https://www.harel-group.co.il/insurance/mortgage/information/faq
כיצד אפשר לקבל סיסמה לאזור אישי?,בקשה לסיסמה מתבצעת דרך האתר או שירות הלקוחות של הראל.,https://www.harel-group.co.il/insurance/mortgage/information/faq
כיצד מוצאים את פרטי הסוכן שלי?,פרטי הסוכן מופיעים באזור האישי, או ניתן לפנות לשירות הלקוחות.,https://www.harel-group.co.il/insurance/mortgage/information/faq
אילו סוגי פוליסות ביטוח משכנתא קיימים?,הראל מציעה ביטוח חיים למשכנתא ומשכנתא בטוחה לבעלי דירה, וכן הרחבות נוספות.,https://www.harel-group.co.il/insurance/mortgage
מהו ביטוח משכנתא בטוחה?,ביטוח שמכסה את מבנה הדירה ואת המסגרת הנדרשת לכיסוי נזקים שונים.,https://www.harel-group.co.il/insurance/mortgage/policies/pages/structural.aspx
האם ביטוח משכנתא מכסה פריצה?,כן — כיסוי נגד פריצה יכול להיות חלק מביטוח מבנה הדירה.,https://www.harel-group.co.il/insurance/mortgage/policies/pages/structural.aspx
מה הכיסוי לנזקי רעידת אדמה?,הביטוח כולל כיסוי לנזקי רעידת אדמה במסגרת פוליסת מבנה.,https://www.harel-group.co.il/insurance/mortgage/policies/pages/structural.aspx
