question,answer,reference
"מה מספר הטלפון לבדיקה אם המסמכים ששלחתי להראל התקבלו?","כדי לבדוק אם המסמכים ששלחת להראל התקבלו, ניתן להתקשר למספר 1-700-70-28-70 לאחר 24 שעות מרגע השליחה.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"אחרי כמה זמן מרגע השליחה אפשר לבדוק אם המסמכים הגיעו להראל?","אפשר לבדוק אם המסמכים התקבלו לאחר 24 שעות מרגע השליחה, בטלפון 1-700-70-28-70.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"האם אפשר ליצור קשר עם הראל ב-WhatsApp?","כן. ניתן לפנות להראל באמצעות WhatsApp למספר 052-7544589.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה מספר ה-WhatsApp של שירות הלקוחות של הראל?","מספר ה-WhatsApp של הראל הוא 052-7544589.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה שעות הפעילות של שירות הלקוחות של הראל ב-WhatsApp?","שירות הלקוחות ב-WhatsApp זמין בימים א'-ה' בין השעות 8:30-15:30.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה מספר הטלפון ללקוחות הראל המתקשרים מחו\"ל?","לקוחות המתקשרים מחו\"ל יכולים לפנות בטלפון 03-7547030.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה שעות הפעילות ללקוחות המתקשרים מחו\"ל?","המספר 03-7547030 ללקוחות המתקשרים מחו\"ל זמין 24/7 למקרי חירום.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"לאיזה מקרים מיועד המספר 03-7547030?","המספר 03-7547030 מיועד ללקוחות המתקשרים מחו\"ל וזמין 24/7 למקרי חירום.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה מספר הטלפון לשירות לקוחות הראל ללקוחות המתקשרים מהארץ?","לקוחות המתקשרים מהארץ יכולים ליצור קשר בטלפון 03-7547080.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה שעות הפעילות של המספר 03-7547080 ללקוחות המתקשרים מהארץ?","המספר 03-7547080 זמין בימים א'-ה' בין השעות 08:30-16:00.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"לאיזה צורך מיועד המספר 03-7547080?","המספר 03-7547080 מיועד ללקוחות המתקשרים מהארץ לשירות לקוחות הראל, בימים א'-ה' בין 08:30-16:00.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה מספר הטלפון לתמיכה בהתחברות לאזור האישי של הראל?","לתמיכה בהתחברות לאזור האישי של הראל ניתן לפנות בטלפון 03-7547060.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה שעות הפעילות של התמיכה בהתחברות לאזור האישי?","התמיכה בהתחברות לאזור האישי זמינה בימים א'-ה' בין השעות 8:00-16:00 בטלפון 03-7547060.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"באילו ימים פעיל שירות הלקוחות הכללי בטלפון 1-700-70-28-70?","שעות הפעילות של שירות הלקוחות הכללי בטלפון 1-700-70-28-70 הן בימים א'-ה', לפי השעות המצוינות בעמוד השירות (בטקסט שציינת: 8:30-15:30/16:00 בהתאם לערוץ).","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"לאיזה נושא מיועד הטלפון 1-700-70-28-70 בהראל?","הטלפון 1-700-70-28-70 מיועד לבדיקה האם המסמכים ששלחת להראל התקבלו, לאחר 24 שעות מרגע השליחה.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"האם שירות בדיקת קבלת המסמכים זמין גם ללקוחות מחו\"ל?","שירות בדיקת קבלת המסמכים דרך 1-700-70-28-70 מיועד בדרך כלל ללקוחות המתקשרים מהארץ; לקוחות מחו\"ל יכולים לפנות למספר 03-7547030 למקרי חירום או בהתאם להנחיות באתר.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"האם המספר 03-7547030 זמין גם לשיחות שאינן חירום?","המספר 03-7547030 משויך ללקוחות המתקשרים מחו\"ל וזמין 24/7 למקרי חירום; לשאר נושאים מומלץ לפנות למספרי השירות ושעות הפעילות המפורטים באתר.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"האם המספר 03-7547080 זמין בסופי שבוע?","לא. המספר 03-7547080 ללקוחות מהארץ פעיל בימים א'-ה' בלבד, בין השעות 08:30-16:00.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"האם אפשר לקבל תמיכה באזור האישי של הראל גם בשעות הערב?","לפי המידע שציינת, התמיכה בהתחברות לאזור האישי בטלפון 03-7547060 פעילה בימים א'-ה' בין השעות 8:00-16:00, ולא בשעות הערב.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"האם שירות ה-WhatsApp של הראל פעיל 24/7?","לא. שירות ה-WhatsApp למספר 052-7544589 פעיל בימים א'-ה' בין השעות 8:30-15:30.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"באיזה מספר ניתן ליצור קשר עם הראל לצורך בדיקת קבלת מסמכים בווטסאפ?","ניתן לשלוח הודעת WhatsApp למספר 052-7544589 לצורך יצירת קשר עם הראל, בהתאם לנושא ולשעות הפעילות.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה ההבדל בין המספר 03-7547030 לבין 03-7547080?","03-7547030 מיועד ללקוחות המתקשרים מחו\"ל וזמין 24/7 למקרי חירום, בעוד 03-7547080 מיועד ללקוחות המתקשרים מהארץ ופועל בימים א'-ה' בין 08:30-16:00.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה עליי לעשות אם שלחתי מסמכים ועדיין לא קיבלתי אישור אחרי 24 שעות?","אם עברו 24 שעות ולא קיבלת אישור, ניתן להתקשר ל-1-700-70-28-70 ולבקש לבדוק האם המסמכים התקבלו במערכת.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"אם אני זקוק לעזרה מיידית מחו\"ל, לאיזה מספר לפנות?","במקרה חירום מחו\"ל ניתן לפנות למספר 03-7547030, הפעיל 24/7 למקרי חירום.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"אם אני בארץ ורוצה שירות לגבי פוליסה, איזה מספר מתאים?","לקוחות המתקשרים מהארץ יכולים לפנות לשירות הלקוחות במספר 03-7547080 בימים א'-ה' בין 08:30-16:00, בהתאם לנושא הפנייה.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"האם אפשר לפנות להראל ב-WhatsApp גם בנושאי ביטוח נסיעות לחו\"ל?","כן, לפי הפרטים שציינת, שירות ה-WhatsApp במספר 052-7544589 משמש את שירות הלקוחות של הראל, וניתן להשתמש בו גם לנושאים כמו ביטוח נסיעות, בהתאם להנחיות שיופיעו בהודעת המענה.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
"מה שעות הפעילות של מוקדי הטלפון של הראל בימי חול?","לפי הפרטים שציינת, מוקדי הטלפון עובדים בדרך כלל בימים א'-ה' בשעות הבוקר והצהריים (למשל 8:00-16:00 או 8:30-16:00), בהתאם למספר המוקד הספציפי.","https://www.harel-group.co.il/contact/Pages/customer-service.aspx/3/99"
