question,answer,reference
"מהו ביטוח הבריאות הפרטי של הראל?","ביטוח הבריאות הפרטי של הראל הוא ביטוח בריאות הנבנה בהתאמה אישית לצרכים שלך ושל בני משפחתך, ומטרתו לספק ביטחון ויציבות כלכלית בעת אירוע בריאותי משמעותי.","https://www.harel-group.co.il/insurance/health"
"למה לבחור בביטוח בריאות של הראל?","הראל מדגישה ניסיון רב בביטוחי בריאות, היותה חברת ביטוחי הבריאות הגדולה בישראל, ורשת כיסויים רחבה, שירותים דיגיטליים ומסלול מהיר לאישור תביעות בנושאי בדיקות, טיפולים ותרופות.","https://www.harel-group.co.il/insurance/health"
"אילו יתרונות ייחודיים יש לביטוח בריאות של הראל?","לביטוח הבריאות של הראל יתרונות כמו הטסת מנתחים מומחים מכל העולם, רשת רופאים מומחים בפריסה ארצית, הסכמים בינלאומיים עם מרכזים רפואיים וכלים דיגיטליים מתקדמים לאישור תביעות מהיר.","https://www.harel-group.co.il/insurance/health"
"מהי הטסת מנתחים מומחים מכל קצוות העולם?","הטסת מנתחים מומחים מכל קצוות העולם היא שירות המאפשר להביא מומחים מובילים מחו""ל לביצוע ניתוחים בישראל במקרים מוגדרים, בהתאם לתנאי הכיסויים הרלוונטיים בפוליסה.","https://www.harel-group.co.il/insurance/health"
"מהי רשת הרופאים המומחים של הראל?","הראל מפעילה רשת רופאים מומחים בפריסה ארצית, כך שמבוטחי הבריאות יכולים לבחור רופאים מובילים בתחומים שונים בהתאם לכיסויים שרכשו ולתנאי ההסכמים עם הרופאים.","https://www.harel-group.co.il/insurance/health"
"אילו הסכמים בינלאומיים יש להראל עם מרכזים רפואיים?","הראל מציינת שיש לה הסכמים בינלאומיים עם מרכזים רפואיים מובילים בעולם, המאפשרים למבוטחים לקבל טיפולים מתקדמים בחו""ל במסגרת כיסויים מתאימים בפוליסה.","https://www.harel-group.co.il/insurance/health"
"אילו כלים דיגיטליים מציעה הראל בביטוח בריאות?","בביטוח הבריאות של הראל מוצעים כלים דיגיטליים מתקדמים, כולל מסלול מהיר לאישור תביעות בנושאי בדיקות, טיפולים ותרופות, המאפשר לנהל תהליכים רפואיים ומימוניים בצורה יעילה יותר.","https://www.harel-group.co.il/insurance/health"
"מהו הכיסוי 'ניתוחים בישראל' בביטוח הבריאות?","כיסוי ניתוחים בישראל הוא אחד ממוצרי הבריאות של הראל, המעניק כיסוי לניתוחים המבוצעים בישראל לפי תנאי הפוליסה, כאשר ניתן לבחור בין כמה תכניות וכתבי שירות משלימים.","https://www.harel-group.co.il/insurance/health"
"אילו הרחבות וכתבי שירות קיימים בביטוח הבריאות של הראל?","הראל מציעה מגוון הרחבות וכתבי שירות כגון ייעוץ ובדיקות, רפואה משלימה, טיפולים לילדים, ביקור רופא בבית ועוד, הניתנים להוספה על גבי כיסויים בסיסיים בהתאם לצורך.","https://www.harel-group.co.il/insurance/health"
"מהו כיסוי 'ניתוחים Upgrade - משלים שב\"ן'?","'ניתוחים Upgrade - כיסוי משלים שב""ן' הוא כיסוי שנועד להשלים את שירותי הבריאות הנוספים (שב""ן) של קופות החולים, ומרחיב את המענה לניתוחים בישראל בהתאם לתנאי המוצר הספציפי.","https://www.harel-group.co.il/insurance/health"
"מהו כיסוי ניתוחים וטיפולים מחליפי ניתוח בישראל מהשקל הראשון?","כיסוי זה מעניק השתתפות של הראל במימון ניתוחים וטיפולים מחליפי ניתוח בישראל כבר מהשקל הראשון, לפי תנאי הפוליסה, ללא תלות בהחזר מגורם אחר.","https://www.harel-group.co.il/insurance/health"
