question,answer,reference
"מהו ביטוח חיים בהראל?","ביטוח חיים (ריסק) של הראל נועד לספק ביטחון כלכלי למשפחה במקרה פטירה, עם תשלום סכום חד-פעמי או קצבה חודשית למוטבים.","https://www.harel-group.co.il/insurance/life"
"איזה סוגי ביטוח חיים מציעה הראל?","הראל מציעה ביטוחי חיים 'מגן' (סכום חד-פעמי) ו'הכנסה למשפחה' (קצבה חודשית), כולל כיסויים למוות, נכות ומחלה.","https://www.harel-group.co.il/insurance/life"
"מהו ביטוח חיים 'מגן' של הראל?","'מגן' הוא ביטוח חיים שמשלם סכום חד-פעמי למוטבים במקרה פטירה מכל סיבה, כדי לשמור על רמת החיים המשפחתית.","https://www.harel-group.co.il/insurance/life"
"מהו ביטוח 'הכנסה למשפחה' בהראל?","ביטוח 'הכנסה למשפחה' משלם קצבה חודשית קבועה למשך תקופה מוגדרת למוטבים לאחר פטירת המבוטח.","https://www.harel-group.co.il/insurance/life"
"למה צריך ביטוח חיים?","ביטוח חיים מבטיח ביטחון כלכלי למשפחה, מכסה משכנתא, הוצאות חינוך ומחיה, ומאפשר המשך חיים נאות ללא המפרנס.","https://www.harel-group.co.il/insurance/life"
"מי נחשב מוטב בביטוח חיים של הראל?","מוטבים הם האנשים שמקבלים את סכום הביטוח במקרה פטירה - בן/בת זוג, ילדים או כל אדם אחר שנרשם בפוליסה.","https://www.harel-group.co.il/insurance/life"
"האם ניתן לשנות מוטבים בביטוח חיים?","כן, ניתן לשנות מוטבים דרך אזור אישי או שירות לקוחות הראל, בכפוף לאישור ולתנאי הפוליסה.","https://www.harel-group.co.il/insurance/life"
"מה נכלל בכיסוי מוות מכל סיבה?","כיסוי מוות מכל סיבה משלם סכום ביטוח בכל מקרה פטירה, ללא קשר לסיבה (תאונה, מחלה וכו').","https://www.harel-group.co.il/insurance/life"
"האם ביטוח חיים מכסה מחלות קשות?","כן, הראל מציעה כיסויים נוספים למחלות קשות, נכות ואובדן כושר עבודה בנוסף לכיסוי מוות בסיסי.","https://www.harel-group.co.il/insurance/life"
"מהו כיסוי נכות בביטוח חיים של הראל?","כיסוי נכות משלם פיצוי במקרה של נכות רפואית קבועה שמונעת עבודה או תפקוד יומיומי.","https://www.harel-group.co.il/insurance/life"
"מהו ביטוח אובדן כושר עבודה בהראל?","ביטוח אובדן כושר עבודה משלם קצבה חודשית אם המבוטח אינו יכול לעבוד עקב מחלה או תאונה.","https://www.harel-group.co.il/insurance/life"
