question,answer,reference
"מהו ביטוח הדירה של הראל?","ביטוח הדירה של הראל נותן הגנה מקיפה לבית, כולל ביטוח מבנה, תכולה ורכוש עם אפשרות להנחה של עד 35% מדמי הביטוח.","https://www.harel-group.co.il/insurance/apartment"
"אילו יתרונות יש לביטוח דירה בהראל?","יתרונות ביטוח הדירה של הראל כוללים הגדלת גבול אחריות צד ג' עד 4 מיליון ש"ח, כיסוי 'כל הסיכונים' גם מחוץ לבית, ביטוח תכשיטים עד 20% מסכום התכולה, וכיסוי הוצאות שכר דירה ל-12 חודשים.","https://www.harel-group.co.il/insurance/apartment"
"מהי פוליסת 'אדירה זהב' של הראל?","'אדירה זהב' היא פוליסת ביטוח מורחבת לדירה ותכולתה שמעניקה הגנה מפני כל הסיכונים, כולל רעידת אדמה, כיסוי לתכשיטים גם מחוץ לדירה, ועד 4 מיליון ₪ אחריות צד ג'.","https://www.harel-group.co.il/insurance/apartment/policies/adira-gold"
"מה כולל ביטוח 'אדירה כסף'?","'אדירה כסף' היא ביטוח דירה ותכולה שמכסה נזקי פריצה, גניבה, שריפה, נזקי מים ועוד, ומתאים לדירות בבניינים משותפים, בתים פרטיים ולשוכרי דירות.","https://www.harel-group.co.il/insurance/apartment/policies/adira-silver"
"מהו כיסוי 'כל הסיכונים' בביטוח דירה של הראל?","כיסוי 'כל הסיכונים' מגן על הרכוש גם מחוץ לבית, כולל תכשיטים ודברי ערך בכל מקום בעולם, בתוספת תשלום ובכפוף לתנאי הפוליסה.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה של הראל כולל אחריות צד ג'?","כן, ניתן להגדיל את גבול האחריות כלפי צד שלישי עד 4 מיליון ש"ח בביטוח הדירה של הראל.","https://www.harel-group.co.il/insurance/apartment"
"מהו כיסוי תכשיטים בביטוח דירה של הראל?","ביטוח תכשיטים מתנה כולל כיסוי של עד 20% מסכום התכולה, גם כאשר התכשיטים נמצאים מחוץ לדירה בפוליסת 'אדירה זהב'.","https://www.harel-group.co.il/insurance/apartment"
"האם יש כיסוי הוצאות שכר דירה בביטוח הדירה?","כן, ביטוח הדירה של הראל כולל כיסוי להוצאות שכר דירה או אובדן הכנסות משכר דירה ל-12 החודשים הראשונים ללא עלות נוספת.","https://www.harel-group.co.il/insurance/apartment"
"אילו נזקים מכוסים בביטוח דירה של הראל?","ביטוח הדירה מכסה נזקי פריצה, גניבה, שריפה, נזקי מים, רעידת אדמה, נזקי טבע ועוד, בהתאם לפוליסה שנבחרה.","https://www.harel-group.co.il/insurance/apartment"
"למי מתאים ביטוח הדירה של הראל?","ביטוח הדירה מתאים לבעלי דירות בבניינים משותפים, בתים פרטיים ולשוכרי דירות.","https://www.harel-group.co.il/insurance/apartment"
"מהו ביטוח מבנה בדירת קומה בבניין משותף?","ביטוח מבנה מכסה את חלקו של המבוטח ברכוש המשותף של הבית, כולל הצמדות מיוחדות כמו מחסן.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה מכסה דירה פנויה?","ביטוח סיכון מים ונוזלים אחרים לא יכסה דירה שאינה תפוסה למעלה מ-60 ימים רצופים או בפועל לא התגוררו בה.","https://www.harel-group.co.il/insurance/apartment"
"מהו כיסוי אחריות כלפי צד שלישי בביטוח דירה?","פרק ב' בפוליסה מכסה אחריות כלפי צד שלישי אם נרשם במפורש במפרט, כולל פגיעות גוף או רכוש לאורחים או שכנים.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה כולל כיסוי רעידת אדמה?","כן, פוליסת 'אדירה זהב' כוללת כיסוי רעידת אדמה לרבות צונאמי, בכפוף לתנאי הפוליסה.","https://www.harel-group.co.il/insurance/apartment"
"מה נחשב 'תכולה' בביטוח דירה של הראל?","תכולה כוללת חפצים, תכשיטים ומכשירים השייכים למבוטח או בני משפחתו המתגוררים בדירה.","https://www.harel-group.co.il/insurance/apartment"
"האם ניתן להגדיל את גבול הכיסוי לתכולה?","כן, ניתן להוסיף כיסויים וכתבי שירות לפי הצורך, כולל הרחבת כיסוי לתכולה ורכוש.","https://www.harel-group.co.il/insurance/apartment"
"מהו ביטוח דירה לשוכרים?","שוכרי דירות יכולים לרכוש ביטוח תכולה בלבד שמגן על החפצים האישיים שלהם במקרה של נזק או גניבה.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה מכסה נזקי שריפה?","כן, כל הפוליסות כוללות כיסוי לנזקי שריפה ופיצוץ.","https://www.harel-group.co.il/insurance/apartment"
"האם יש כיסוי לנזקי מים וצנרת?","כן, ביטוח הדירה כולל כיסוי לנזקי מים וצנרת, כולל דוד ביתי בנפח עד 200 ליטר עם תו תקן ישראלי.","https://www.harel-group.co.il/insurance/apartment"
"מהו כיסוי נזקי טבע בביטוח דירה?","כיסוי נזקי טבע כולל פגיעת ברק, סופות, ממטרים כבדים, רעידת אדמה ועוד תנאי מזג אוויר קיצוניים.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה כולל הוצאות מגורים חלופיים?","כן, במקרה של נזק חמור שמונע מגורים בדירה, הפוליסה מכסה הוצאות מעבר למקום מגורים חלופי.","https://www.harel-group.co.il/insurance/apartment"
"למי חל ביטוח הדירה - בני משפחה?","הכיסוי חל על המבוטח, בן זוגו, ילדיו, הוריו או קרובים אחרים המתגוררים עמו דרך קבע.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה מכסה מחסן או חצר?","בדרך כלל לא כלולים בפוליסה אזורים כמו מחסן וחצר, אלא אם צוין אחרת במפרט.","https://www.harel-group.co.il/insurance/apartment"
"איך מגישים תביעה בביטוח דירה של הראל?","טפסים ומסמכים לתביעות זמינים באתר הראל בעמודי הפוליסות השונות.","https://www.harel-group.co.il/insurance/apartment"
"האם ניתן לקבל הנחה של 35% בביטוח דירה?","כן, הראל מציעה עד 35% הנחה מדמי הביטוח לביטוח דירה, מבנה ורכוש.","https://www.harel-group.co.il/insurance/apartment"
"מה ההבדל בין 'אדירה זהב' ל'אדירה כסף'?","'אדירה זהב' מציעה כיסוי מורחב 'כל הסיכונים' כולל תכשיטים מחוץ לדירה, בעוד 'אדירה כסף' מכסה נזקי בסיסיים כמו פריצה, שריפה ונזקי מים.","https://www.harel-group.co.il/insurance/apartment"
"האם יש כתבי שירות נוספים לביטוח דירה?","כן, ניתן לרכוש כיסויים וכתבי שירות נוספים בהתאם לצרכים האישיים.","https://www.harel-group.co.il/insurance/apartment"
"האם ביטוח הדירה תקף גם לדירה בבית משותף?","כן, הביטוח חל על בית משותף רשום בפנקסי המקרקעין עם שתי דירות לפחות.","https://www.harel-group.co.il/insurance/apartment"
