question,answer,reference
"איזה סוגי ביטוחים מציעה הראל בעמוד מוצרי הביטוח?","בעמוד מוצרי הביטוח של הראל מופיעים ביטוח דירה, ביטוח בריאות, ביטוח שיניים, ביטוח מחלות קשות, ביטוח תאונות אישיות, ביטוח סיעודי, ביטוח עובדים זרים ותיירים, ביטוח אובדן כושר עבודה, ביטוח חיים, ביטוח נסיעות לחו\"ל, ביטוח רכב, ביטוח משכנתא וביטוח עסק.","https://www.harel-group.co.il/insurance/"
"איך מגיעים למידע על ביטוח דירה באתר הראל?","בעמוד מוצרי הביטוח של הראל מופיעה קטגוריית 'ביטוח דירה' ולצידה כפתור 'למידע והצטרפות' המפנה לעמוד ייעודי עם פרטים על הביטוח והצטרפות אונליין.","https://www.harel-group.co.il/insurance/"
"איפה באתר ניתן למצוא מידע על ביטוח בריאות?","ביטוח בריאות מופיע ברשימת מוצרי הביטוח, ולידו כפתור 'למידע והצטרפות' שמוביל לעמוד ביטוח הבריאות עם פירוט כיסויים ואפשרות להצטרפות.","https://www.harel-group.co.il/insurance/"
"איך להגיע לעמוד ביטוח שיניים של הראל?","ברשימת מוצרי הביטוח יש קטגוריה 'ביטוח שיניים' יחד עם כפתור 'למידע והצטרפות' שמקשר לעמוד ביטוח השיניים של הראל.","https://www.harel-group.co.il/insurance/"
"איזה ביטוח מציעה הראל למקרה של מחלות קשות?","הראל מציעה מוצר ייעודי בשם 'ביטוח מחלות קשות', שמופיע ברשימת מוצרי הביטוח עם קישור 'למידע והצטרפות' לעמוד הפוליסה.","https://www.harel-group.co.il/insurance/"
"האם יש להראל ביטוח תאונות אישיות?","כן, ברשימת המוצרים באתר מופיע ביטוח תאונות אישיות ולצידו כפתור 'למידע והצטרפות' שמוביל לעמוד המוצר.","https://www.harel-group.co.il/insurance/"
"האם הראל מציעה ביטוח סיעודי?","כן, בעמוד מוצרי הביטוח מופיע ביטוח סיעודי כקטגוריה נפרדת, עם אפשרות 'למידע והצטרפות' לקבלת פרטים נוספים והצטרפות.","https://www.harel-group.co.il/insurance/"
"לאילו אוכלוסיות מיועד ביטוח עובדים זרים ותיירים של הראל?","בעמוד מוצרי הביטוח מופיע מוצר 'ביטוח עובדים זרים ותיירים', המיועד לעובדים זרים ותיירים השוהים בישראל, עם קישור למידע והצטרפות לביטוח זה.","https://www.harel-group.co.il/insurance/"
"האם ניתן לרכוש ביטוח אובדן כושר עבודה דרך אתר הראל?","כן, ביטוח אובדן כושר עבודה מופיע בעמוד מוצרי הביטוח, ולידו כפתור 'למידע והצטרפות' המאפשר להגיע לעמוד ההצטרפות והמפרט המלא.","https://www.harel-group.co.il/insurance/"
"האם יש להראל ביטוח חיים?","כן, ברשימת מוצרי הביטוח באתר מופיעה קטגוריה 'ביטוח חיים' עם קישור 'למידע והצטרפות' לעמוד המוקדש לביטוח חיים.","https://www.harel-group.co.il/insurance/"
"איפה מוצאים מידע על ביטוח נסיעות לחו\"ל של הראל?","ביטוח נסיעות לחו\"ל מוצג ברשימת המוצרים, ולצידו כפתור 'למידע והצטרפות' שמפנה לעמוד ביטוח הנסיעות לחו\"ל של הראל.","https://www.harel-group.co.il/insurance/"
"האם הראל מציעה ביטוח רכב?","כן, בעמוד מוצרי הביטוח יש קטגוריה 'ביטוח רכב' עם כפתור 'למידע והצטרפות' לעמוד ביטוח הרכב באתר.","https://www.harel-group.co.il/insurance/"
"האם אפשר לרכוש ביטוח משכנתא דרך הראל?","כן, ברשימת המוצרים מופיע 'ביטוח משכנתא' ולידו 'למידע והצטרפות', המוביל לעמוד פירוט הביטוח והצטרפות למשכנתא.","https://www.harel-group.co.il/insurance/"
"מהו ביטוח העסק שמציעה הראל?","ביטוח עסק מופיע כמוצר ייעודי בעמוד מוצרי הביטוח, עם כפתור 'למידע והצטרפות' המפנה לעמוד שבו ניתן ללמוד על כיסויי ביטוח העסק ולהצטרף.","https://www.harel-group.co.il/insurance/"
"איך בוחרים איזה מוצר ביטוח מתאים לי?","בעמוד מוצרי הביטוח ניתן לראות את כל קטגוריות הביטוח המרכזיות ולהקליק על 'למידע והצטרפות' בכל מוצר כדי ללמוד על הכיסויים ולהבין מה מתאים לצרכים האישיים.","https://www.harel-group.co.il/insurance/"
"האם אפשר לראות את כל מוצרי הביטוח של הראל במקום אחד?","כן, בעמוד 'מוצרי הביטוח שלנו' מרוכזים כל סוגי הביטוחים המרכזיים של הראל, כך שניתן לקבל תמונה רחבה על מגוון אפשרויות הביטוח.","https://www.harel-group.co.il/insurance/"
"איך מתקדמים להצטרפות לביטוח מתוך עמוד מוצרי הביטוח?","ליד כל סוג ביטוח מופיע כפתור 'למידע והצטרפות'; לחיצה עליו מובילה לעמוד המוצר, שבו ניתן לקבל פרטי כיסוי ולבצע תהליך הצטרפות דיגיטלי או ליצור קשר.","https://www.harel-group.co.il/insurance/"
"האם בעמוד מוצרי הביטוח עצמם מופיעים מחירים?","בעמוד מוצרי הביטוח מופיעים שמות המוצרים וקישורים לעמודי מידע והצטרפות, כאשר לרוב המחירים והצעות מותאמות ניתנים לאחר מעבר לעמוד המוצר והזנת פרטים.","https://www.harel-group.co.il/insurance/"
"האם ניתן לקבל מידע נוסף על כל מוצר מעבר לכותרת?","כן, לכל מוצר יש כפתור 'למידע והצטרפות' שמפנה לעמוד מפורט עם הסבר על הכיסויים, תנאי הביטוח ואפשרויות הצטרפות.","https://www.harel-group.co.il/insurance/"
"מהו המוצר הראשון שמופיע ברשימת מוצרי הביטוח של הראל?","ברשימת מוצרי הביטוח בעמוד זה המוצר הראשון שמופיע הוא 'ביטוח דירה', עם קישור למידע והצטרפות.","https://www.harel-group.co.il/insurance/"
"באיזה סדר מוצגים סוגי הביטוחים בעמוד?","בעמוד מוצרי הביטוח, לפי הטקסט המוצג, מופיעים לפי הסדר: ביטוח דירה, ביטוח בריאות, ביטוח שיניים, ביטוח מחלות קשות, ביטוח תאונות אישיות, ביטוח סיעודי, ביטוח עובדים זרים ותיירים, ביטוח אובדן כושר עבודה, ביטוח חיים, ביטוח נסיעות לחו\"ל, ביטוח רכב, ביטוח משכנתא, ביטוח עסק.","https://www.harel-group.co.il/insurance/"
"האם בעמוד זה מופיעים פרטי התקשרות טלפוניים של הראל?","בעמוד מוצרי הביטוח המוצג מופיעה בעיקר רשימת קטגוריות הביטוח וכפתורי 'למידע והצטרפות'; מספר טלפון שירות לקוחות בדרך כלל מופיע בתפריט התחתון או בעמוד 'צור קשר' באתר הראשי.","https://www.harel-group.co.il/insurance/"
"איך אפשר למצוא את מספר הטלפון של הראל מתוך האתר?","מהעמוד ניתן לגלול לתפריט התחתון או לעבור לעמוד כללי באתר (לדוגמה 'צור קשר' או 'שירות לקוחות') שבו מופיעים מספרי הטלפון והערוצים הדיגיטליים של הראל.","https://www.harel-group.co.il/insurance/"
"כיצד מגיעים לביטוח דירה לצורך קבלת הצעת מחיר?","יש לבחור ב'ביטוח דירה' בעמוד מוצרי הביטוח, ללחוץ על 'למידע והצטרפות' ובכך להגיע לעמוד שבו ניתן להשאיר פרטים או להתחיל תהליך הצטרפות אונליין ולקבל הצעה מותאמת.","https://www.harel-group.co.il/insurance/"
"אם אני מחפש ביטוח רכב, איפה להתחיל באתר?","בעמוד מוצרי הביטוח יש לבחור 'ביטוח רכב' ואז ללחוץ על 'למידע והצטרפות' כדי להגיע לעמוד המוצר, לראות כיסויים ולקבל הצעת ביטוח רכב מתאימה.","https://www.harel-group.co.il/insurance/"
