question,answer,reference_url
"מה זה ביטוח רכב של הראל?","הראל מציעה מגוון מסלולי ביטוח רכב, כולל ביטוח חובה, מקיף, צד ג', ביטוח לרכב חשמלי ולמי שנוסע מעט, עם אפשרות לקבל הצעה אונליין בתוך כמה דקות.","https://www.harel-group.co.il/insurance/car"
"למה לבחור בביטוח רכב של הראל?","בביטוח הרכב של הראל תמצא מגוון הרחבות, אפשרות כיסוי מהיר לנהגים מזדמנים, שירותים דיגיטליים באפליקציה וכיסויים מיוחדים לרכב חשמלי.","https://www.harel-group.co.il/insurance/car"
"איזה סוגי ביטוח רכב יש בהראל?","בהראל ניתן לרכוש ביטוח חובה, ביטוח מקיף, ביטוח צד ג', ביטוח לפי קילומטר (סוויץ'), ביטוח לרכב חשמלי, ביטוח משאית, אופנוע וכלי רכב מיוחדים.","https://www.harel-group.co.il/insurance/car"
"מה כולל ביטוח חובה לרכב?","ביטוח חובה לרכב מכסה נזקי גוף לנוהג, לנוסעים ולהולכי רגל במקרה של תאונת דרכים, והוא נדרש על פי חוק כדי לנסוע ברכב בישראל.","https://www.harel-group.co.il/insurance/car"
"האם ביטוח חובה לרכב הוא באמת חובה?","כן, לפי החוק בישראל חובה לבטח כל רכב בביטוח חובה לפני עלייה לכביש, אחרת אסור לנסוע בו.","https://www.harel-group.co.il/insurance/car"
"מה זה ביטוח מקיף לרכב?","ביטוח מקיף לרכב מכסה בדרך כלל נזק לרכב המבוטח עצמו כתוצאה מתאונה, גניבה, שריפה, תאונות נוספות ואירועים מכוסים לפי התנאים בפוליסה.","https://www.harel-group.co.il/insurance/car"
"מה זה ביטוח צד ג' לרכב?","ביטוח צד ג' לרכב מכסה נזקי רכוש שנגרמו לצד שלישי כתוצאה משימוש ברכב שלך, בהתאם לתנאי הפוליסה שנרכשה.","https://www.harel-group.co.il/insurance/car"
"מה ההבדל בין ביטוח מקיף לביטוח צד ג'?","ביטוח מקיף מכסה גם את הנזק לרכב שלך וגם נזק לצד ג', בעוד ביטוח צד ג' מכסה רק נזקי רכוש של צד שלישי ואינו מכסה נזק לרכב שלך.","https://www.harel-group.co.il/insurance/car"
"כמה עולה ביטוח רכב בהראל?","מחיר ביטוח הרכב נקבע לפי פרמטרים כמו סוג הרכב, שנת ייצור, פרופיל הנהג, היסטוריית תביעות, כיסויים נבחרים והרחבות נוספות בפוליסה.","https://www.harel-group.co.il/insurance/car"
"אילו פרמטרים משפיעים על מחיר ביטוח הרכב?","על המחיר משפיעים בין היתר גיל הנהג, ותק ברישיון, היסטוריית תאונות ותביעות, סוג הרכב, שימוש ברכב, אזור מגורים ורמת הכיסוי וההרחבות שנבחרו.","https://www.harel-group.co.il/insurance/car"
