question,answer,reference
"מהו ביטוח שיניים של הראל?","ביטוח שיניים של הראל מעניק כיסוי לטיפולים משמרים, עזרה ראשונה, טיפולי חניכיים, שתלים, פרוטטיקה ויישור שיניים לילדים.","https://www.harel-group.co.il/insurance/dental"
"אילו טיפולים משמרים כלולים בביטוח שיניים הראל?","טיפולים משמרים כוללים ביקורת שנתית, ניקוי אבנית כל 6 חודשים, סתימות, צילומים, טיפולי שורש ועקירות.","https://www.harel-group.co.il/insurance/dental"
"מהי עזרה ראשונה ושירותי חרום בביטוח שיניים?","עזרה ראשונה כוללת שיכוך כאבים, טיפול בדלקות חניכיים, ניקוז מורסות ועקירות חירום.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים הראל כולל טיפולי חניכיים?","כן, כולל הקצעות שורשים, טיפולי פרקודונטליה וניתוחי חניכיים.","https://www.harel-group.co.il/insurance/dental"
"מהם טיפולים פרוטטיים בביטוח שיניים הראל?","טיפולים פרוטטיים כוללים כתרים, גשרים, תותבות ושיקום הפה.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים הראל מכסה שתלים דנטליים?","כן, כולל התקנת שתלים, חשיפת שתלים ושיקום על גבי שתלים.","https://www.harel-group.co.il/insurance/dental"
"האם יש כיסוי ליישור שיניים לילדים?","כן, ביטוח שיניים הראל כולל כיסוי ליישור שיניים לילדים עד גיל 17-18.","https://www.harel-group.co.il/insurance/dental"
"האם ניתן לצרף בני משפחה לביטוח שיניים?","כן, ניתן לצרף בן/בת זוג וילדים לפוליסת ביטוח שיניים משפחתית.","https://www.harel-group.co.il/insurance/dental"
"מהי רשת הרופאים של הראל בביטוח שיניים?","הראל עובדת עם למעלה מ-1,200 רופאי שיניים, מרפאות ומכוני צילום ברחבי הארץ.","https://www.harel-group.co.il/insurance/dental"
"האם אפשר לטפל אצל רופא פרטי עם ביטוח הראל?","כן, ניתן לטפל אצל רופא פרטי אך ההחזר יהיה נמוך יותר עם השתתפות עצמית גבוהה יותר.","https://www.harel-group.co.il/insurance/dental"
"מהי ההשתתפות העצמית בביטוח שיניים הראל?","השתתפות עצמית סמלית של כ-30 ש"ח לטיפול אצל רופא בהסדר.","https://www.harel-group.co.il/insurance/dental"
"מהי תקופת ההתחייבות בביטוח שיניים הראל?","התחייבות ל-6 שנים לפוליסת ביטוח שיניים משמר.","https://www.harel-group.co.il/insurance/dental"
"מהי תקופת האכשרה בביטוח שיניים?","60 ימי אכשרה לפוליסות פרטיות (ללא אכשרה בביטוחים קבוצתיים).","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים הראל דורש בדיקה רפואית?","לא, הראל אינה דורשת בדיקה מוקדמת להצטרפות לביטוח שיניים.","https://www.harel-group.co.il/insurance/dental"
"מהם מגבלות הטיפולים בביטוח שיניים הראל?","מגבלות כוללות ביקורת שנתית אחת, ניקוי אבנית כל 6 חודשים, מספר מוגבל של צילומים.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים כולל הלבנת שיניים?","לא, טיפולים אסתטיים כמו הלבנת שיניים אינם מכוסים בביטוח שיניים.","https://www.harel-group.co.il/insurance/dental"
"האם ניתן להגיש תביעת החזר אונליין?","כן, ניתן להגיש תביעות החזר דרך אזור אישי באתר הראל או באפליקציה.","https://www.harel-group.co.il/insurance/dental"
"מה נכלל בביקורת שנתית בביטוח שיניים?","ביקורת שנתית כוללת בדיקה כללית, אבחון ומניעת בעיות עתידיות.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים קבוצתי שונה מפרטי?","כן, ביטוח קבוצתי נהנה מתנאים משופרים, מחירים מוזלים וללא תקופת אכשרה.","https://www.harel-group.co.il/insurance/dental"
"למי מיועד ביטוח שיניים קבוצתי של הראל?","ביטוח קבוצתי מיועד לעובדים דרך מעסיק, ארגונים ואיגודים מקצועיים.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים הראל כולל טיפולי חירום 24/7?","כן, חלק מהפוליסות כוללות כיסוי לטיפולי שיניים 24 שעות ביממה.","https://www.harel-group.co.il/insurance/dental"
"מהו טיפול שורש בביטוח שיניים הראל?","טיפול שורש מכוסה כאשר יש תהליך דלקתי סביב חוד השורש המודגם בצילום.","https://www.harel-group.co.il/insurance/dental"
"האם ניתן לרכוש ביטוח שיניים בנפרד מביטוח בריאות?","כן, ביטוח שיניים ניתן לרכישה עצמאית או כתוספת לביטוח בריאות.","https://www.harel-group.co.il/insurance/dental"
"מה גיל המקסימום לביטוח שיניים הראל?","בדרך כלל עד גיל 70+, תלוי בסוג הפוליסה ובמצב הבריאותי.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים כולל צילומי רנטגן?","כן, צילומי שיניים כלולים בכיסוי הטיפולים המשמרים.","https://www.harel-group.co.il/insurance/dental"
"מה ההבדל בין ביטוח משמר לעזרה ראשונה?","ביטוח משמר כולל טיפולים שגרתיים, עזרה ראשונה מיועדת לטיפולי חירום בלבד.","https://www.harel-group.co.il/insurance/dental"
"האם ניתן להאריך ביטוח שיניים אוטומטית?","כן, הפוליסה מתחדשת אוטומטית בתום תקופת ההתחייבות בכפוף לתשלום.","https://www.harel-group.co.il/insurance/dental"
"מה קורה אם מפסיקים לשלם ביטוח שיניים?","הפוליסה מבוטלת והכיסוי פג תוקף מיידית.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים הראל תקף בחו\"ל?","ביטוח שיניים סטנדרטי תקף בישראל בלבד. לטיפולי שיניים בחו\"ל נדרש ביטוח נסיעות.","https://www.harel-group.co.il/insurance/dental"
"איך מוצאים רופא שיניים בהסדר עם הראל?","רשימת מרפאות הסדר זמינה באתר הראל ובאפליקציה.","https://www.harel-group.co.il/insurance/dental"
"מהי תקרת השיפוי השנתית בביטוח שיניים?","תקרה שנתית משתנה לפי סוג הפוליסה וגיל המבוטח (18-28, 29-44, 45-69, 70+).","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים כולל כיסוי לילדים מתחת לגיל 18?","כן, ילדים זכאים לכיסוי מלא כולל יישור שיניים.","https://www.harel-group.co.il/insurance/dental"
"מה לעשות במקרה טיפול יקר מעל תקרת השיפוי?","המבוטח משלם את ההפרש מעבר לתקרה השנתית.","https://www.harel-group.co.il/insurance/dental"
"האם ניתן לשנות רופא שיניים באמצע השנה?","כן, ניתן לעבור בין רופאי הסדר ללא מגבלת זמן.","https://www.harel-group.co.il/insurance/dental"
"מה קורה אם הטיפול ניתן לפני תקופת האכשרה?","טיפולים לפני 60 ימי אכשרה אינם מכוסים.","https://www.harel-group.co.il/insurance/dental"
"האם ביטוח שיניים כולל טיפולי חניכיים מתקדמים?","כן, כולל הקצעת שורשים וטיפולי פרקודונטליה מתקדמים.","https://www.harel-group.co.il/insurance/dental"
"מהו מספר טלפון של ביטוח שיניים הראל?","פרטי שירות לקוחות זמינים בעמוד שירות הלקוחות באתר הראל.","https://www.harel-group.co.il/insurance/dental"
"האם ניתן לבטל ביטוח שיניים באמצע התקופה?","ביטול באמצע תקופת ההתחייבות (6 שנים) כרוך בקנסות ודמי ביטול.","https://www.harel-group.co.il/insurance/dental"
"מה ההבדל בין ביטוח שיניים פרטי לקבוצתי?","ביטוח קבוצתי מוזיל יותר עם כיסויים משופרים וללא אכשרה.","https://www.harel-group.co.il/insurance/dental"
