question,answer,reference
"מהו ביטוח הנסיעות לחו""ל של הראל?","ביטוח הנסיעות לחו""ל של הראל הוא ביטוח שמעניק כיסויים רפואיים וכיסויים נוספים מרגע הזמנת הטיסה, במהלך השהות בחו""ל ועד החזרה לארץ, כדי לספק שקט נפשי בכל סוג נסיעה – נופש, עסקים או טיול אתגרי.","https://www.harel-group.co.il/insurance/travel"
"למה לבחור בביטוח הנסיעות לחו""ל של הראל?","ביטוח הנסיעות של הראל מציע מגוון כיסויים והרחבות, כולל שירותים לפני הנסיעה, במהלך השהות בחו""ל ואפילו לאחר החזרה לארץ, כדי לוודא שתמיד יש מי שיעזור בעת הצורך.","https://www.harel-group.co.il/insurance/travel"
"איזה כיסויים מרכזיים כלולים בביטוח הנסיעות לחו""ל של הראל?","ביטוח הנסיעות לחו""ל של הראל כולל כיסויים לטיפול רפואי בחו""ל, כיסוי לכבודה, שירותי חילוץ והצלה, ושירותים דיגיטליים דרך אפליקציית הראל חו""ל, בהתאם לתנאי הפוליסה שנבחרה.","https://www.harel-group.co.il/insurance/travel"
"מה זה שירות Air Doctor בביטוח נסיעות לחו""ל של הראל?","שירות Air Doctor מאפשר למצוא רופאים בחו""ל ולקבל טיפול רפואי כאשר התשלום לרופא משולם על ידי הראל בהתאם לתנאי הפוליסה, כך שהמבוטח אינו נדרש לשלם ישירות לרופא במעמד הביקור.","https://www.harel-group.co.il/insurance/travel"
"האם הראל משלמת ישירות לרופא בחו""ל?","כן, במסגרת שירות Air Doctor, הטיפול הרפואי מתבצע כאשר התשלום לרופא נעשה על ידי הראל לפי תנאי הכיסוי הרפואי בפוליסה, כדי לחסוך מהמבוטח התעסקות בתשלום מיידי.","https://www.harel-group.co.il/insurance/travel"
"מהי יחידת חילוץ והצלה ""הראל 669""?","""הראל 669"" היא יחידת חילוץ והצלה שמעמידה לרשות המבוטחים מוקד חירום וחילוץ 24/7, כדי לסייע במקרי חירום וצרכי חילוץ במהלך הטיול בחו""ל.","https://www.harel-group.co.il/insurance/travel"
"האם יש מוקד חירום 24/7 בביטוח נסיעות לחו""ל?","כן, במסגרת שירותי ""הראל 669"" עומד לרשות המבוטחים מוקד חירום וחילוץ הפועל 24 שעות ביממה, 7 ימים בשבוע, במקרה של אירועי חירום בחו""ל.","https://www.harel-group.co.il/insurance/travel"
"מהו הכיסוי למזוודה שמאחרת להגיע?","ברכישת כיסוי לכבודה ניתן לקבל עד 155 דולר ישר לאפליקציית bit במקרה של מזוודה שמאחרת, בהתאם לתנאי הכיסוי לכבודה בפוליסה.","https://www.harel-group.co.il/insurance/travel"
"כיצד מקבלים פיצוי על מזוודה שמאחרת?","כאשר נרכש כיסוי לכבודה והמזוודה מאחרת, ניתן לקבל עד 155 דולר המועברים ישירות ל-bit, בכפוף לתנאי הפוליסה ולקריטריונים שנקבעו לכיסוי זה.","https://www.harel-group.co.il/insurance/travel"
"האם יש החזר כספי לנסיעה הבאה בביטוח נסיעות הראל?","כן, ברכישת ביטוח נסיעות באפליקציית הראל חו""ל ניתן לקבל 10% Cashback לנסיעה הבאה, בהתאם לתנאים המפורסמים באפליקציה.","https://www.harel-group.co.il/insurance/travel"
"איך מקבלים 10% Cashback לנסיעה הבאה?","כדי לקבל 10% Cashback לנסיעה הבאה יש לרכוש את ביטוח הנסיעות דרך אפליקציית הראל חו""ל, כאשר ההטבה ניתנת לפי תנאים המופיעים באפליקציה.","https://www.harel-group.co.il/insurance/travel"
"האם יש הטבות תקשורת בחו""ל ללקוחות הראל?","כן, מוצעת הטבה של 20% הנחה ברכישת חבילת תקשורת eSIM של Multi-Travel (פייקול) עבור נוסעים המבוטחים בביטוח הנסיעות של הראל, בהתאם לפרטים בעמוד ההטבה.","https://www.harel-group.co.il/insurance/travel"
"מהי ההטבה על חבילת eSIM Multi-Travel?","ביטוח הנסיעות של הראל כולל הטבה של 20% הנחה ברכישת חבילת תקשורת eSIM של Multi-Travel (פייקול) עבור הנוסעים, בכפוף לתנאי ההטבה המפורטים.","https://www.harel-group.co.il/insurance/travel"
"אילו מוצרי ביטוח נסיעות לחו""ל מוצעים על ידי הראל?","הראל מציעה מספר מוצרי ביטוח נסיעות לחו""ל, ביניהם ""דרכון First Class"" ו""דרכון פרימיום"", המיועדים לכיסויים שונים והתאמה לסוגי נסיעות וצרכים שונים.","https://www.harel-group.co.il/insurance/travel"
"מהו ביטוח נסיעות ""דרכון First Class""?","""דרכון First Class"" הוא מוצר ביטוח נסיעות לחו""ל של הראל המיועד להעניק כיסוי מקיף לנסיעות, כולל כיסויים רפואיים וכיסויים נוספים, בהתאם לתנאי התכנית המופיעים באתר.","https://www.harel-group.co.il/insurance/travel"
"מהו ביטוח נסיעות ""דרכון פרימיום""?","""דרכון פרימיום"" הוא מסלול ביטוח נסיעות לחו""ל למבוטחים הזכאים, המספק כיסוי פרימיום הכולל הרחבות מיוחדות, כאשר פרטי הכיסויים והתנאים מפורטים בעמוד התכנית.","https://www.harel-group.co.il/insurance/travel"
