question,answer,reference
מהו ביטוח העסק של הראל?,ביטוח העסק של הראל הוא פתרון ביטוחי המיועד לכסות מגוון סיכונים בעסק, כולל רכוש, חבויות וסיכונים מיוחדים.,https://www.harel-group.co.il/insurance/business
אילו סוגי ביטוחים עסקיים הראל מציע?,הראל מציע ביטוח רכוש, ביטוח הנדסי, ביטוח חבויות, ביטוח ימי וסיכונים מיוחדים.,https://www.harel-group.co.il/insurance/business
מה כולל ביטוח רכוש בעסק?,ביטוח רכוש כולל כיסויים כגון אש, נזקי טבע, פריצה ואובדן רכוש.,https://www.harel-group.co.il/insurance/business
האם ניתן לקבל כיסוי עבור אובדן הכנסות?,כן — ביטוח אובדן רווחים כיסוי מפני אובדן הכנסות בעקבות נזק לרכוש.,https://www.harel-group.co.il/insurance/business
מהו ביטוח הנדסי?,ביטוח הנדסי מכסה סיכונים הקשורים בציוד הנדסי, שבר מכני והפסקות פעילות בשל תקלות.,https://www.harel-group.co.il/insurance/business
מה זה ביטוח חבויות?,ביטוח חבויות מעניק כיסוי לתביעות מצד ג' בגין נזקי גוף או רכוש.,https://www.harel-group.co.il/insurance/business
האם ביטוח עסק כולל כיסוי בביטוח ימי?,כן — יש כיסויים למטענים ולכלי שיט במסגרת ביטוח ימי.,https://www.harel-group.co.il/insurance/business
מהו ביטוח סיכונים מיוחדים?,כיסוי לסיכונים מורחבים כגון סיכוני סייבר, אחריות דירקטורים ועוד.,https://www.harel-group.co.il/insurance/business
מה כולל ביטוח סכני סייבר?,כיסוי מפני מתקפות סייבר ואובדן מידע או נזקים למערכות.,https://www.harel-group.co.il/insurance/business
כיצד מצטרפים לביטוח העסק של הראל?,הצטרפות מתבצעת באמצעות סוכן ביטוח של הראל שמייעץ על הכיסויים המתאימים.,https://www.harel-group.co.il/insurance/business
איך מדווחים על תביעה?,אתה מדווח על תביעה דרך שירות הלקוחות של הראל לפי הוראות הפוליסה.,https://www.harel-group.co.il/insurance/business
האם ניתן לעדכן את הראל בשינויים בעסק?,כן — יש לעדכן את הראל אם בוצעו שינויים משמעותיים בפעילות העסק.,https://www.harel-group.co.il/insurance/business
מה לעשות אם נסגר העסק?,יש לפנות לראל ולסיים / לעדכן את הפוליסה בהתאם.,https://www.harel-group.co.il/insurance/business
מהו ביטוח שבר מכני?,כיסוי לנזקי ציוד הנגרמים עקב שבר או תקלה מכנית.,https://www.harel-group.co.il/insurance/business
האם ביטוח כולל כיסוי ציוד אלקטרוני?,כן — ביטוח ציוד אלקטרוני מכסה מחשבים, שרתים ועוד.,https://www.harel-group.co.il/insurance/business
מהו ביטוח רכוש במעבר?,כיסוי לרכוש הנמצא בהובלה בין אתרים.,https://www.harel-group.co.il/insurance/business
האם יש ביטוח לרכוש בכספת?,כן — יש כיסוי מיוחד לרכוש המאוחסן בכספת.,https://www.harel-group.co.il/insurance/business
כיצד מגישים תביעה על חבויות גוף?,פורטים לשירות הלקוחות באתר הראל למילוי דיווח תביעה.,https://www.harel-group.co.il/insurance/business
מהו ביטוח חבות מעבידים?,כיסוי לתביעות עובדים על פגיעה גופנית או מחלת מקצוע.,https://www.harel-group.co.il/insurance/business
האם יש ביטוח אחריות מוצר?,כן — ביטוח לכיסוי נזקי גוף או רכוש שנגרמים ממוצר שלך.,https://www.harel-group.co.il/insurance/business
מה זה ביטוח אחריות מקצועית?,כיסוי תביעות בגין טעות מקצועית או רשלנות.,https://www.harel-group.co.il/insurance/business
האם יש ביטוח אחריות לרופאים?,כן — ביטוח אחריות מקצועית לרופאים פרטיים ולרופאי שיניים.,https://www.harel-group.co.il/insurance/business
מהו ביטוח נאמנות עובדים?,כיסוי כספי במקרה של מעילה של עובד.,https://www.harel-group.co.il/insurance/business
כיצד לבחור כיסויים לעסק שלי?,באמצעות ייעוץ של סוכן ביטוח לפי סוג העסק וסיכונים.,https://www.harel-group.co.il/insurance/business
מה כולל ביטוח מכלול לעסק?,כיסוי רחב למבנה, תכולה ואובדן רווחים עם מבחר הרחבות.,https://www.harel-group.co.il/insurance/business
מהו ביטוח אש מורחב?,כיסוי מפני אש וסיכונים נוספים לרכוש.,https://www.harel-group.co.il/insurance/business
האם ניתן להרחיב את הפוליסה ללא תוספת תשלום?,כן — יש הרחבות מסוימות ללא עלות נוספת.,https://www.harel-group.co.il/insurance/business
איזה כיסויים כוללת פוליסת “מכלול למשרד”?,כיסוי לסיכונים נפוצים במשרדים כמו אש, פריצה ונזילות.,https://www.harel-group.co.il/insurance/business
כיצד הראל מטפל בתביעות?,באמצעות מערך שירות לקוחות והנחיות בממשק הלקוחות.,https://www.harel-group.co.il/insurance/business
מה כולל ביטוח צמ"ה?,כיסוי למכונות וציוד מכני הנדסי.,https://www.harel-group.co.il/insurance/business
כיצד ניתן לפנות לשירות הלקוחות של הראל?,דרך פרטי יצירת קשר המופיעים באתר תחת שירות לקוחות.,https://www.harel-group.co.il/insurance/business
האם ביטוח פעיל במקרה של טרור?,כן — יש כיסוי ביטוח נזקי טרור.,https://www.harel-group.co.il/insurance/business
